ticker,date,open,high,low,close,adj_close,volume,ingested_at
META,2020-09-21,247.5399932861328,249.9499969482422,244.1300048828125,248.14999389648438,246.7960662841797,24709400,2025-09-18 21:07:05.618282+00:00
META,2020-09-22,253.30999755859375,255.32000732421875,248.22000122070312,254.75,253.36004638671875,30293100,2025-09-18 21:07:05.618282+00:00
META,2020-09-23,255.25999450683594,257.989990234375,248.14999389648438,249.02000427246094,247.66131591796875,19641300,2025-09-18 21:07:05.618282+00:00
META,2020-09-24,246.5,252.24000549316406,245.6199951171875,249.52999877929688,248.1685333251953,20006800,2025-09-18 21:07:05.618282+00:00
META,2020-09-25,249.39999389648438,255.75,246.61000061035156,254.82000732421875,253.42967224121094,18351300,2025-09-18 21:07:05.618282+00:00
META,2020-09-28,259.3999938964844,259.6000061035156,254.82000732421875,256.82000732421875,255.4187469482422,18826300,2025-09-18 21:07:05.618282+00:00
META,2020-09-29,257.80999755859375,263.3299865722656,256.8999938964844,261.7900085449219,260.3616638183594,20200200,2025-09-18 21:07:05.618282+00:00
META,2020-09-30,261.9800109863281,266.0799865722656,260.1000061035156,261.8999938964844,260.4710693359375,20142500,2025-09-18 21:07:05.618282+00:00
META,2020-10-01,265.3500061035156,268.3299865722656,264.79998779296875,266.6300048828125,265.1752624511719,20009800,2025-09-18 21:07:05.618282+00:00
META,2020-10-02,261.2099914550781,265.1499938964844,259.17999267578125,259.94000244140625,258.521728515625,16367600,2025-09-18 21:07:05.618282+00:00
META,2020-10-05,262.20001220703125,264.8699951171875,260.8399963378906,264.6499938964844,263.2060546875,12822300,2025-09-18 21:07:05.618282+00:00
META,2020-10-06,261.7799987792969,265.69000244140625,258.239990234375,258.6600036621094,257.24871826171875,18696900,2025-09-18 21:07:05.618282+00:00
META,2020-10-07,259.2099914550781,260.17999267578125,254.82000732421875,258.1199951171875,256.71160888671875,23133400,2025-09-18 21:07:05.618282+00:00
META,2020-10-08,259.75,264.6199951171875,259.1499938964844,263.760009765625,262.3209533691406,16312800,2025-09-18 21:07:05.618282+00:00
META,2020-10-09,264.5199890136719,264.75,262.1700134277344,264.45001220703125,263.00714111328125,14107800,2025-09-18 21:07:05.618282+00:00
META,2020-10-12,270.20001220703125,280.17999267578125,267.8699951171875,275.75,274.2454528808594,31019300,2025-09-18 21:07:05.618282+00:00
META,2020-10-13,277.5799865722656,279.1000061035156,273.3900146484375,276.1400146484375,274.63336181640625,18063300,2025-09-18 21:07:05.618282+00:00
META,2020-10-14,277.6199951171875,278.75,271.5,271.82000732421875,270.3369140625,15577800,2025-09-18 21:07:05.618282+00:00
META,2020-10-15,267.6000061035156,269.0400085449219,263.6700134277344,266.7200012207031,265.2647399902344,15416100,2025-09-18 21:07:05.618282+00:00
META,2020-10-16,267.3800048828125,271.3699951171875,265.29998779296875,265.92999267578125,264.47900390625,16622700,2025-09-18 21:07:05.618282+00:00
META,2020-10-19,265.5299987792969,268.54998779296875,259.8800048828125,261.3999938964844,259.9737243652344,13587000,2025-09-18 21:07:05.618282+00:00
META,2020-10-20,263.05999755859375,269.70001220703125,262.8800048828125,267.55999755859375,266.10015869140625,18763200,2025-09-18 21:07:05.618282+00:00
META,2020-10-21,279.55999755859375,283.04998779296875,276.3699951171875,278.7300109863281,277.2091979980469,28998600,2025-09-18 21:07:05.618282+00:00
META,2020-10-22,279.8699951171875,282.45001220703125,275.0400085449219,278.1199951171875,276.6025085449219,16720000,2025-09-18 21:07:05.618282+00:00
META,2020-10-23,278.79998779296875,285.239990234375,276.82000732421875,284.7900085449219,283.2361755371094,17535200,2025-09-18 21:07:05.618282+00:00
META,2020-10-26,283.1600036621094,285.2300109863281,274.260009765625,277.1099853515625,275.5980529785156,21322900,2025-09-18 21:07:05.618282+00:00
META,2020-10-27,278.760009765625,284.510009765625,276.30999755859375,283.2900085449219,281.744384765625,16287200,2025-09-18 21:07:05.618282+00:00
META,2020-10-28,278.7900085449219,278.7900085449219,267.260009765625,267.6700134277344,266.2095642089844,23121800,2025-09-18 21:07:05.618282+00:00
META,2020-10-29,276.54998779296875,283.6000061035156,273.7799987792969,280.8299865722656,279.2977294921875,32368100,2025-09-18 21:07:05.618282+00:00
META,2020-10-30,274.5,276.70001220703125,259.1000061035156,263.1099853515625,261.6744079589844,47247800,2025-09-18 21:07:05.618282+00:00
META,2020-11-02,264.6000061035156,270.4700012207031,257.3399963378906,261.3599853515625,259.9339294433594,27165700,2025-09-18 21:07:05.618282+00:00
META,2020-11-03,263.1600036621094,270.04998779296875,260.8800048828125,265.29998779296875,263.85247802734375,17961900,2025-09-18 21:07:05.618282+00:00
META,2020-11-04,281.0,288.94000244140625,278.6199951171875,287.3800048828125,285.81201171875,35364400,2025-09-18 21:07:05.618282+00:00
META,2020-11-05,291.8999938964844,297.3800048828125,288.95001220703125,294.67999267578125,293.0721435546875,23823600,2025-09-18 21:07:05.618282+00:00
META,2020-11-06,293.95001220703125,294.6000061035156,288.05999755859375,293.4100036621094,291.8091125488281,13891000,2025-09-18 21:07:05.618282+00:00
META,2020-11-09,289.8699951171875,292.5799865722656,278.5299987792969,278.7699890136719,277.2489929199219,25117700,2025-09-18 21:07:05.618282+00:00
META,2020-11-10,273.1000061035156,274.0,264.0,272.42999267578125,270.943603515625,29067700,2025-09-18 21:07:05.618282+00:00
